run_number,start_time,end_time,duration_s,speed_Mbps,packet_loss_pct,latency_ms,status
1,00:29:49:444,00:29:50:574,1.13,0.0075,0.0,583.18,SUCCESS
2,01:29:50:246,01:29:51:504,1.258,0.0067,0.0,1312.24,SUCCESS
3,02:29:48:989,02:29:50:073,1.084,0.0078,0.0,195.83,SUCCESS
4,03:29:49:206,03:29:50:280,1.074,0.0079,0.0,408.71,SUCCESS
1,10:51:33:854,10:51:35:163,1.307,0.0065,0.0,533.0,SUCCESS
2,11:51:33:511,11:51:34:710,1.199,0.0071,0.0,194.25,SUCCESS
3,12:51:33:562,12:51:34:775,1.213,0.007,0.0,248.93,SUCCESS
4,13:51:33:509,13:51:34:669,1.16,0.0073,0.0,216.87,SUCCESS
5,14:51:33:853,14:51:35:573,1.719,0.0049,0.0,284.2,SUCCESS
6,15:51:33:855,15:51:34:946,1.091,0.0078,0.0,253.53,SUCCESS
7,16:51:33:839,16:51:34:933,1.094,0.0077,0.0,220.87,SUCCESS
8,17:51:34:244,17:51:35:359,1.114,0.0076,0.0,657.87,SUCCESS
9,18:51:33:846,18:51:34:982,1.135,0.0075,0.0,236.32,SUCCESS
10,19:51:33:944,19:51:35:269,1.325,0.0064,0.0,305.45,SUCCESS
11,20:51:33:923,20:51:35:025,1.102,0.0077,0.0,249.28,SUCCESS
12,21:51:33:976,21:51:35:512,1.536,0.0055,0.0,320.68,SUCCESS
13,22:51:33:928,22:51:35:042,1.114,0.0076,0.0,182.58,SUCCESS
14,23:51:34:153,23:51:35:279,1.125,0.0075,0.0,184.27,SUCCESS
15,00:51:34:701,00:51:35:843,1.142,0.0074,0.0,680.97,SUCCESS
16,01:51:34:334,01:51:35:398,1.064,0.008,0.0,239.29,SUCCESS
17,02:51:34:375,02:51:35:532,1.156,0.0073,0.0,282.99,SUCCESS
18,03:51:34:392,03:51:35:509,1.117,0.0076,0.0,259.09,SUCCESS
19,04:51:34:478,04:51:35:580,1.102,0.0077,0.0,315.71,SUCCESS
20,05:51:34:464,05:51:35:599,1.135,0.0075,0.0,270.62,SUCCESS
21,07:01:51:144,07:01:51:144,,,100.0,,SKIPPED
22,09:53:28:186,09:53:28:186,,,100.0,,SKIPPED
23,10:54:03:061,10:54:04:444,1.383,0.0061,100.0,316.46,SUCCESS
24,11:59:04:576,11:59:05:706,1.13,0.0075,100.0,377.18,SUCCESS
25,12:59:04:362,12:59:04:504,0.142,0.0443,100.0,148.69,SUCCESS
